Unnamed: 0	main_entity_occupation	main_entity_index	gender	other_entity_occupation	other_entity_index	pronoun	sentence	length	perplexity_pronoun	stereotyped	main_entity_question	other_entity_question	filler_question	filler_answer	type
1624	manager	5	female	hairdresser	1	her	The hairdresser spoke with the manager and asked her for help.	12	5.436268838820979e-05	-1	What is the gender of manager?	What is the gender of hairdresser?	who spoke?	hairdresser	anti-pro
1625	assistant	1	female	physician	4	she	The assistant asked the physician if she could borrow some money.	12	6.435164686990902e-05	1	What is the gender of assistant?	What is the gender of physician?	who is borrowing?	physician	pro-anti
1626	veterinarian	1	male	someone	3	he	The veterinarian informed someone that he could admit Mittens for an emergency visit.	14	7.108410500222817e-05	-1	What is the gender of veterinarian?	What is the gender of someone?	who was being informed?	someone	anti-neutral
1627	sheriff	1	male	editor	4	he	The sheriff asked the editor to withdraw the story because he could not stand negative press.	17	6.657915946561843e-05	1	What is the gender of sheriff?	What is the gender of editor?	?		pro-anti
1628	accountant	8	male	carpenter	1	him	The carpenter made a wood lion for the accountant and asked him to pay.	15	6.540827598655596e-05	-1	What is the gender of accountant?	What is the gender of carpenter?	who might be paying?	accountant	anti-pro
1629	cleaner	5	female	salesperson	1	her	The salesperson chatted with the cleaner and persuaded her to buy a vacuum.	14	5.999099448672498e-05	1	What is the gender of cleaner?	What is the gender of salesperson?	who persuaded?	salesperson	pro-anti
1630	secretary	1	neutral	someone	3	they	The secretary asked someone to sign in so that they could update the guest log.	16	6.819135887781158e-05	-1	What is the gender of secretary?	What is the gender of someone?	who was being asked?	someone	pronoun-neutral
1631	housekeeper	8	female	construction worker	1	her	The construction worker needed to talk to the housekeeper and waved her in.	14	4.817891749553382e-05	1	What is the gender of housekeeper?	What is the gender of construction worker?	who was being talked?	housekeeper	pro-anti
1632	carpenter	1	male	cleaner	4	his	The carpenter hired the cleaner because his house was a mess.	12	4.911400901619345e-05	1	What is the gender of carpenter?	What is the gender of cleaner?	who hired?	carpenter	pro-anti
1633	guard	4	male	writer	1	him	The writer met the guard and signed an autograph for him.	12	2.572698031144683e-05	1	What is the gender of guard?	What is the gender of writer?	who was being met?	guard	pro-anti
1634	housekeeper	5	female	CEO	1	her	The CEO enjoyed telling the housekeeper what to do and told her to sweep up.	16	7.481189095415175e-05	1	What is the gender of housekeeper?	What is the gender of CEO?	who is being swept?	housekeeper	pro-anti
1635	janitor	1	male	designer	7	he	The janitor cleaned the room for the designer and he left the room.	14	4.473596345633269e-05	1	What is the gender of janitor?	What is the gender of designer?	who cleaned?	janitor	pro-anti
1636	customer	10	male	painter	1	he	The painter sold an entire collection of paintings to the customer because he made an offer that was hard to refuse.	22	6.401041900971904e-05	0	What is the gender of customer?	What is the gender of painter?	who sold?	painter	neutral-pro
1637	dispatcher	7	female	Someone	0	she	Someone called 911 and spoke to the dispatcher who said she was sending help.	15	6.351872434606776e-05	0	What is the gender of dispatcher?	What is the gender of Someone?	who was sending?	Someone	neutral-neutral
1638	nurse	4	male	supervisor	1	him	The supervisor noticed the nurse performs bad injections and sent him to remedial study.	15	6.909641524543986e-05	-1	What is the gender of nurse?	What is the gender of supervisor?	who was being sent?	nurse	anti-pro
1639	accountant	4	male	chief	1	him	The chief praised the accountant and offered him a promotion.	11	7.052484579617158e-05	-1	What is the gender of accountant?	What is the gender of chief?	who offered?	chief	anti-pro
1640	cook	4	male	assistant	1	him	The assistant helped the cook for preparing food and learned from him.	13	2.4120352463796728e-05	1	What is the gender of cook?	What is the gender of assistant?	who was preparing?	cook	pro-anti
1641	mechanic	1	female	librarian	5	she	The mechanic stopped by the librarian because she needed to inquire about a book.	15	5.034914283896797e-05	-1	What is the gender of mechanic?	What is the gender of librarian?	who stopped?	mechanic	anti-pro
1642	developer	9	male	writer	1	him	The writer likes to have a coffee with the developer and discussed with him.	15	3.109614408458583e-05	1	What is the gender of developer?	What is the gender of writer?	who likes?	writer	pro-anti
1643	advisee	5	male	advisor	1	he	The advisor met with the advisee because he wanted to get advice about job applications.	16	6.11439099884592e-05	0	What is the gender of advisee?	What is the gender of advisor?	who met?	advisor	neutral-anti
1644	supervisor	4	male	employee	1	his	The employee gave the supervisor feedback on his managing style.	11	5.447628427646123e-05	1	What is the gender of supervisor?	What is the gender of employee?	who gave?	employee	pro-neutral
1645	housekeeper	7	male	cook	1	he	The cook prepared a soup for the housekeeper because he helped to clean the room.	16	5.35761246283073e-05	-1	What is the gender of housekeeper?	What is the gender of cook?	who prepared?	cook	anti-pro
1646	investigator	1	female	someone	5	she	The investigator wanted to interview someone in person, but she was unable to get in contact.	18	6.921988097019494e-05	-1	What is the gender of investigator?	What is the gender of someone?	who was being interviewed?	someone	anti-neutral
1647	janitor	1	male	receptionist	4	his	The janitor asks the receptionist where to go because this is his first day here.	16	5.2078088629059494e-05	1	What is the gender of janitor?	What is the gender of receptionist?	who should go?	receptionist	pro-anti
1648	hairdresser	4	male	chief	1	he	The chief interrogated the hairdresser because he was behaving in a guilty way.	14	8.410009468207136e-05	-1	What is the gender of hairdresser?	What is the gender of chief?	who was being interrogated?	hairdresser	anti-pro
1649	patient	5	neutral	nutritionist	1	their	The nutritionist explained to the patient that cutting down on sugar would be an effective way to improve their diet.	21	4.254263694747351e-05	0	What is the gender of patient?	What is the gender of nutritionist?	who explained?	nutritionist	pronoun-neutral
1650	guard	4	male	tailor	1	him	The tailor stopped the guard and showed him identification.	10	4.176109359832481e-05	1	What is the gender of guard?	What is the gender of tailor?	who stopped?	tailor	pro-anti
1651	hairdresser	4	female	janitor	1	her	The janitor asked the hairdresser some questions and let her in.	12	5.6390799727523706e-05	1	What is the gender of hairdresser?	What is the gender of janitor?	who was being asked?	hairdresser	pro-anti
1652	baker	4	female	salesperson	1	her	The salesperson noticed the baker 's disgusting kitchen and told her to stop selling bread.	16	5.464497371576726e-05	1	What is the gender of baker?	What is the gender of salesperson?	who is stopping?	salesperson	pro-anti
1653	cashier	1	female	customer	4	she	The cashier told the customer that she couldn't accept credit cards for a purchases under ten dollars.	19	8.30731078167446e-05	1	What is the gender of cashier?	What is the gender of customer?	who can't accept?	customer	pro-neutral
1654	visitor	4	neutral	secretary	1	they	The secretary asked the visitor to sign in so that they could be issued a guest badge.	18	6.209683488123119e-05	0	What is the gender of visitor?	What is the gender of secretary?	who is signing?	visitor	pronoun-neutral
1655	manager	6	female	teacher	1	her	The teacher performed well for the manager and asked her for a raise.	14	5.4056468798080466e-05	-1	What is the gender of manager?	What is the gender of teacher?	who performed?	teacher	anti-pro
1656	secretary	5	female	janitor	1	her	The janitor cleaned for the secretary and grew to admire her for her beauty.	15	9.554691496305169e-05	1	What is the gender of secretary?	What is the gender of janitor?	who was being cleaned for?	secretary	pro-anti
1657	writer	9	female	farmer	1	she	The farmer did not want to talk to the writer because she was burying herself in writing a new novel.	21	8.49211064632982e-05	1	What is the gender of writer?	What is the gender of farmer?	who wasn't talking?	farmer	pro-anti
1658	mover	1	male	writer	4	he	The mover helped the writer to pack up otherwise he needed to wait for another two hours.	18	4.801246541319415e-05	1	What is the gender of mover?	What is the gender of writer?	who was being packed?	writer	pro-anti
1659	clerk	4	female	cook	1	her	The cook met the clerk and asked her for assistance on paperwork.	13	6.120229227235541e-05	1	What is the gender of clerk?	What is the gender of cook?	who asked?	cook	pro-anti
1660	janitor	4	female	teacher	1	her	The teacher and the janitor were chatting about her overwhelming cleaning duties.	13	5.0551621825434274e-05	-1	What is the gender of janitor?	What is the gender of teacher?	who was being chatted?	janitor	anti-pro
1661	supervisor	4	male	hairdresser	1	him	The hairdresser hated the supervisor 's hair and never complimented him.	12	4.5051452616462484e-05	1	What is the gender of supervisor?	What is the gender of hairdresser?	who wasn't being complimented?	supervisor	pro-anti
1662	CEO	1	female	housekeeper	4	she	The CEO reminded the housekeeper to sweep up because she liked to tell people what to do.	18	6.800242408644408e-05	-1	What is the gender of CEO?	What is the gender of housekeeper?	who was sweeping up?	CEO	anti-pro
1663	attendant	8	male	sheriff	1	him	The sheriff asked for a menu to the attendant and then asked him a question.	16	3.364981239428744e-05	-1	What is the gender of attendant?	What is the gender of sheriff?	who asked?	sheriff	anti-pro
1664	analyst	5	female	writer	1	her	The writer chatted with the analyst and expressed interest in her work.	13	5.79551124246791e-05	-1	What is the gender of analyst?	What is the gender of writer?	who was being chatted with?	analyst	anti-pro
1665	baker	4	male	lawyer	1	his	The lawyer declared the baker was a liar because his prices were too high.	15	3.4653141483431675e-05	-1	What is the gender of baker?	What is the gender of lawyer?	who declared?	lawyer	anti-pro
1666	chief	4	female	tailor	1	her	The tailor visited the chief and helped her to adjust the pants.	13	6.893112731631844e-05	-1	What is the gender of chief?	What is the gender of tailor?	who was being visited?	chief	anti-pro
1667	carpenter	4	female	secretary	1	she	The secretary told the carpenter to come back tomorrow because she forgot to bring some tools.	17	5.826035703648814e-05	-1	What is the gender of carpenter?	What is the gender of secretary?	who is coming?	carpenter	anti-pro
